Message ID,Source Vehicle,Destination Vehicle,Message Type,Message Content,Priority,Spam
407,Car X,All Vehicles,Traffic,"Heavy congestion, consider alternate routes",High,No
408,Car Y,Car Z,Emergency,Report any suspicious activities on the highway,High,No
409,Car A,All Vehicles,Weather,Severe thunderstorm warning,High,No
410,Car B,Car C,Spam,Make $1000 per day from home!,Low,Yes
411,Car D,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
412,Car E,Car F,Roadwork,Road resurfacing in progress,Medium,No
413,Car G,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
414,Car H,Car I,Emergency,Test emergency message,High,No
415,Car J,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
416,Car K,Car L,Hazard,"Fallen tree blocking the road, use caution",Medium,No
417,Car M,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
418,Car N,Car O,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
419,Car P,All Vehicles,Traffic,"Heavy congestion on Highway C, expect delays",High,No
420,Car Q,Car R,Emergency,Report any suspicious activities on the highway,High,No
421,Car S,All Vehicles,Weather,Severe thunderstorm warning,High,No
422,Car T,Car U,Spam,Limited stock available - Don't miss out!,Low,Yes
423,Car V,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
424,Car W,Car X,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
425,Car Y,All Vehicles,Weather,Severe storm warning in effect,High,No
426,Car Z,Car A,Hazard,"Car stopped on the shoulder, use caution",Medium,No
427,Car B,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
428,Car C,Car D,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
429,Car E,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
430,Car F,Car G,Emergency,Report any suspicious activities on the highway,High,No
431,Car H,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
432,Car I,Car J,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
433,Car K,All Vehicles,Hazard,"Debris on the road, use caution",Medium,No
434,Car L,Car M,Roadwork,Lane closures due to maintenance,Medium,No
435,Car N,All Vehicles,Traffic,Heavy traffic reported on Highway A,High,No
436,Car O,Car P,Emergency,Test emergency message,High,No
437,Car Q,All Vehicles,Weather,Severe storm warning in effect,High,No
438,Car R,Car S,Hazard,"Car stopped on the shoulder, use caution",Medium,No
439,Car T,All Vehicles,Roadwork,Road resurfacing in progress,Medium,No
440,Car U,Car V,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
441,Car X,All Vehicles,Traffic,Road closure due to an accident,High,No
442,Car Y,Car Z,Emergency,Test emergency broadcast,High,No
443,Car A,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
444,Car B,Car C,Hazard,"Car stopped on the shoulder, use caution",Medium,No
445,Car D,All Vehicles,Roadwork,Lane closures for road repairs,Medium,No
446,Car E,Car F,Spam,Limited-time offer - Buy now and get 50% off!,Low,Yes
447,Car G,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
448,Car H,Car I,Emergency,Report any suspicious activities on the highway,High,No
449,Car J,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
450,Car K,Car L,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
451,Car M,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
452,Car N,Car O,Roadwork,Road resurfacing in progress,Medium,No
453,Car P,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
454,Car Q,Car R,Emergency,Test emergency message,High,No
455,Car S,All Vehicles,Weather,Severe thunderstorm warning,High,No
456,Car T,Car U,Hazard,"Debris on the road, use caution",Medium,No
457,Car V,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
458,Car W,Car X,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
459,Car Y,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
460,Car Z,Car A,Emergency,Report any suspicious activities on the highway,High,No
461,Car B,All Vehicles,Weather,Severe thunderstorm warning,High,No
462,Car C,Car D,Spam,Limited stock available - Don't miss out!,Low,Yes
463,Car E,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
464,Car F,Car G,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
465,Car H,All Vehicles,Weather,Severe storm warning in effect,High,No
466,Car I,Car J,Hazard,"Car stopped on the shoulder, use caution",Medium,No
467,Car K,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
468,Car L,Car M,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
469,Car N,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
470,Car O,Car P,Emergency,Report any suspicious activities on the highway,High,No
471,Car Q,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
472,Car R,Car S,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
473,Car T,All Vehicles,Traffic,Road closure due to an accident,High,No
474,Car U,Car V,Emergency,Test emergency broadcast,High,No
475,Car W,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
476,Car X,Car Y,Hazard,"Car stopped on the shoulder, use caution",Medium,No
477,Car Z,All Vehicles,Roadwork,Lane closures for road repairs,Medium,No
478,Car A,Car B,Spam,Limited-time offer - Buy now and get 50% off!,Low,Yes
479,Car C,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
480,Car D,Car E,Emergency,Report any suspicious activities on the highway,High,No
481,Car F,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
482,Car G,Car H,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
483,Car I,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
484,Car J,Car K,Roadwork,Road resurfacing in progress,Medium,No
485,Car L,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
486,Car M,Car N,Emergency,Test emergency message,High,No
487,Car O,All Vehicles,Weather,Severe thunderstorm warning,High,No
488,Car P,Car Q,Hazard,"Debris on the road, use caution",Medium,No
489,Car R,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
490,Car S,Car T,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
491,Car U,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
492,Car V,Car W,Emergency,Report any suspicious activities on the highway,High,No
493,Car X,All Vehicles,Weather,Severe thunderstorm warning,High,No
494,Car Y,Car Z,Spam,Limited stock available - Don't miss out!,Low,Yes
495,Car A,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
496,Car B,Car C,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
497,Car D,All Vehicles,Weather,Severe storm warning in effect,High,No
498,Car E,Car F,Hazard,"Car stopped on the shoulder, use caution",Medium,No
499,Car G,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
500,Car H,Car I,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
501,Car J,All Vehicles,Traffic,Road closure due to construction,High,No
502,Car K,Car L,Emergency,Medical emergency reported on Highway A,High,No
503,Car M,All Vehicles,Weather,Tornado warning in effect,High,No
504,Car N,Car O,Hazard,"Fallen rocks on the road, proceed with caution",Medium,No
505,Car P,All Vehicles,Roadwork,Lane closures for road repairs,Medium,No
506,Car Q,Car R,Spam,Limited-time offer - Buy now and get 50% off!,Low,Yes
507,Car S,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
508,Car T,Car U,Emergency,Report any suspicious activities on the highway,High,No
509,Car V,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
510,Car W,Car X,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
511,Car Y,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
512,Car Z,Car A,Roadwork,Road resurfacing in progress,Medium,No
513,Car B,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
514,Car C,Car D,Emergency,Test emergency message,High,No
515,Car E,All Vehicles,Weather,Severe thunderstorm warning,High,No
516,Car F,Car G,Hazard,"Debris on the road, use caution",Medium,No
517,Car H,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
518,Car I,Car J,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
519,Car K,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
520,Car L,Car M,Emergency,Report any suspicious activities on the highway,High,No
521,Car N,All Vehicles,Weather,Severe thunderstorm warning,High,No
522,Car O,Car P,Spam,Limited stock available - Don't miss out!,Low,Yes
523,Car Q,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
524,Car R,Car S,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
525,Car T,All Vehicles,Weather,Severe storm warning in effect,High,No
526,Car U,Car V,Hazard,"Car stopped on the shoulder, use caution",Medium,No
527,Car W,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
528,Car X,Car Y,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
529,Car Z,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
530,Car A,Car B,Emergency,Report any suspicious activities on the highway,High,No
531,Car C,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
532,Car D,Car E,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
533,Car F,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
534,Car G,Car H,Roadwork,Road resurfacing in progress,Medium,No
535,Car I,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
536,Car J,Car K,Emergency,Test emergency message,High,No
537,Car L,All Vehicles,Weather,Severe thunderstorm warning,High,No
538,Car M,Car N,Hazard,"Debris on the road, use caution",Medium,No
539,Car O,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
540,Car P,Car Q,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
541,Car R,All Vehicles,Traffic,Road closure due to an accident,High,No
542,Car S,Car T,Emergency,Test emergency broadcast,High,No
543,Car U,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
544,Car V,Car W,Hazard,"Car stopped on the shoulder, use caution",Medium,No
545,Car X,All Vehicles,Roadwork,Lane closures for road repairs,Medium,No
546,Car Y,Car Z,Spam,Limited-time offer - Buy now and get 50% off!,Low,Yes
547,Car A,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
548,Car B,Car C,Emergency,Report any suspicious activities on the highway,High,No
549,Car D,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
550,Car E,Car F,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
551,Car G,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
552,Car H,Car I,Roadwork,Road resurfacing in progress,Medium,No
553,Car J,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
554,Car K,Car L,Emergency,Test emergency message,High,No
555,Car M,All Vehicles,Weather,Severe thunderstorm warning,High,No
556,Car N,Car O,Hazard,"Debris on the road, use caution",Medium,No
557,Car P,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
558,Car Q,Car R,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
559,Car S,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
560,Car T,Car U,Emergency,Report any suspicious activities on the highway,High,No
561,Car V,All Vehicles,Weather,Severe thunderstorm warning,High,No
562,Car W,Car X,Spam,Limited stock available - Don't miss out!,Low,Yes
563,Car Y,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
564,Car Z,Car A,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
565,Car B,All Vehicles,Weather,Severe storm warning in effect,High,No
566,Car C,Car D,Hazard,"Car stopped on the shoulder, use caution",Medium,No
567,Car E,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
568,Car F,Car G,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
569,Car H,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
570,Car I,Car J,Emergency,Report any suspicious activities on the highway,High,No
571,Car K,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
572,Car L,Car M,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
573,Car N,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
574,Car O,Car P,Roadwork,Road resurfacing in progress,Medium,No
575,Car Q,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
576,Car R,Car S,Emergency,Test emergency message,High,No
577,Car T,All Vehicles,Weather,Severe thunderstorm warning,High,No
578,Car U,Car V,Hazard,"Debris on the road, use caution",Medium,No
579,Car W,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
580,Car X,Car Y,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
581,Car Y,All Vehicles,Spam,Attention! You've won a luxury vacation package!,Low,Yes
582,Car B,Car L,Spam,"Limited-time offer: Buy one, get one free!",Low,Yes
583,Car N,All Vehicles,Spam,"Earn $10,000 per month from home!",Low,Yes
584,Car H,Car Q,Spam,Get exclusive access to secret investment opportunities!,Low,Yes
585,Car F,All Vehicles,Spam,Double your money in just 30 days!,Low,Yes
586,Car R,Car Z,Spam,Claim your free gift card now!,Low,Yes
587,Car D,All Vehicles,Spam,Make money fast with this proven system!,Low,Yes
588,Car M,Car X,Spam,Lose weight quickly and effortlessly!,Low,Yes
589,Car G,All Vehicles,Spam,Discover the secret to eternal youth!,Low,Yes
590,Car A,Car U,Spam,Get the best deals on luxury goods!,Low,Yes
591,Car W,All Vehicles,Spam,Start your own online business and be your own boss!,Low,Yes
592,Car P,Car I,Spam,Unlock the hidden potential of your mind!,Low,Yes
593,Car K,All Vehicles,Spam,Get rich quick with this amazing opportunity!,Low,Yes
594,Car T,Car E,Spam,Win a brand new car in our exciting giveaway!,Low,Yes
595,Car C,All Vehicles,Spam,Discover the secret to unlimited wealth and success!,Low,Yes
596,Car V,Car S,Spam,Earn passive income while you sleep!,Low,Yes
597,Car O,All Vehicles,Spam,Get the body you've always dreamed of!,Low,Yes
598,Car J,Car D,Spam,Learn the secrets of successful entrepreneurship!,Low,Yes
599,Car L,All Vehicles,Spam,Turn your hobby into a profitable business!,Low,Yes
600,Car X,Car T,Spam,Get instant access to exclusive online courses!,Low,Yes
601,Car B,All Vehicles,Spam,Attention! You've won a luxury vacation package!,Low,Yes
602,Car D,Car F,Spam,"Limited-time offer: Buy one, get one free!",Low,Yes
603,Car H,All Vehicles,Spam,"Earn $10,000 per month from home!",Low,Yes
604,Car J,Car L,Spam,Get exclusive access to secret investment opportunities!,Low,Yes
605,Car N,All Vehicles,Spam,Double your money in just 30 days!,Low,Yes
606,Car P,Car R,Spam,Claim your free gift card now!,Low,Yes
607,Car T,All Vehicles,Spam,Make money fast with this proven system!,Low,Yes
608,Car V,Car X,Spam,Lose weight quickly and effortlessly!,Low,Yes
609,Car Y,All Vehicles,Spam,Discover the secret to eternal youth!,Low,Yes
610,Car A,Car C,Spam,Get the best deals on luxury goods!,Low,Yes
611,Car E,All Vehicles,Spam,Start your own online business and be your own boss!,Low,Yes
612,Car G,Car I,Spam,Unlock the hidden potential of your mind!,Low,Yes
613,Car K,All Vehicles,Spam,Get rich quick with this amazing opportunity!,Low,Yes
614,Car M,Car O,Spam,Win a brand new car in our exciting giveaway!,Low,Yes
615,Car Q,All Vehicles,Spam,Discover the secret to unlimited wealth and success!,Low,Yes
616,Car S,Car U,Spam,Earn passive income while you sleep!,Low,Yes
617,Car W,All Vehicles,Spam,Get the body you've always dreamed of!,Low,Yes
618,Car C,Car E,Spam,Learn the secrets of successful entrepreneurship!,Low,Yes
619,Car I,All Vehicles,Spam,Turn your hobby into a profitable business!,Low,Yes
620,Car M,Car Q,Spam,Get instant access to exclusive online courses!,Low,Yes
621,Car U,All Vehicles,Spam,Exclusive offer: Get 50% off on all products!,Low,Yes
622,Car V,Car W,Spam,Limited-time deal: Buy now and save big!,Low,Yes
623,Car X,All Vehicles,Spam,Attention drivers: Win a luxury vacation for two!,Low,Yes
624,Car Y,Car Z,Spam,Special offer: Get a free gift with every purchase!,Low,Yes
625,Car A,All Vehicles,Spam,Amazing opportunity: Earn passive income from home!,Low,Yes
626,Car B,Car C,Spam,Limited seats available: Register now for a free workshop!,Low,Yes
627,Car D,All Vehicles,Spam,Attention entrepreneurs: Discover the secret to success!,Low,Yes
628,Car E,Car F,Spam,Exclusive membership offer: Join now and get VIP benefits!,Low,Yes
629,Car G,All Vehicles,Spam,Unlock your potential with our life-changing program!,Low,Yes
630,Car H,Car I,Spam,"Limited-time sale: Buy one, get one free on select items!",Low,Yes
631,Car J,All Vehicles,Spam,Don't miss out: Get the latest trends at discounted prices!,Low,Yes
632,Car K,Car L,Spam,Get in shape with our revolutionary fitness program!,Low,Yes
633,Car M,All Vehicles,Spam,Attention gamers: Win a gaming console of your choice!,Low,Yes
634,Car N,Car O,Spam,Get your dream job with our professional resume services!,Low,Yes
635,Car P,All Vehicles,Spam,Start your online business with our proven system!,Low,Yes
636,Car Q,Car R,Spam,Discover the secrets of financial freedom!,Low,Yes
637,Car S,All Vehicles,Spam,Limited-time offer: Get 20% off on all orders!,Low,Yes
638,Car T,Car U,Spam,Unlock your creativity with our art workshop!,Low,Yes
639,Car V,All Vehicles,Spam,Attention travelers: Get exclusive discounts on hotels!,Low,Yes
640,Car W,Car X,Spam,Double your investment in just 6 months!,Low,Yes
641,Car Y,All Vehicles,Spam,"Special offer: Buy one, get one free on selected items!",Low,Yes
642,Car B,Car L,Spam,Attention shoppers: Get 50% off on all products!,Low,Yes
643,Car N,All Vehicles,Spam,"Exclusive deal: Earn $10,000 per month working from home!",Low,Yes
644,Car H,Car Q,Spam,Limited-time offer: Get 70% off on all services!,Low,Yes
645,Car F,All Vehicles,Spam,Double your income with our proven investment strategy!,Low,Yes
646,Car R,Car Z,Spam,Claim your free trial and experience amazing benefits!,Low,Yes
647,Car D,All Vehicles,Spam,Limited seats available: Register now for a free webinar!,Low,Yes
648,Car M,Car X,Spam,Get in shape with our revolutionary fitness program!,Low,Yes
649,Car G,All Vehicles,Spam,Unlock your potential with our life-changing course!,Low,Yes
650,Car A,Car U,Spam,Get the best deals on luxury products!,Low,Yes
651,Car E,All Vehicles,Spam,Start your online business and achieve financial freedom!,Low,Yes
652,Car C,Car I,Spam,Discover the secret to success and happiness!,Low,Yes
653,Car K,All Vehicles,Spam,Don't miss out: Get the latest fashion trends at low prices!,Low,Yes
654,Car W,Car J,Spam,Attention music lovers: Win VIP tickets to a concert!,Low,Yes
655,Car P,All Vehicles,Spam,Enhance your skills with our online learning platform!,Low,Yes
656,Car T,Car E,Spam,Start your journey to financial independence today!,Low,Yes
657,Car V,All Vehicles,Spam,Limited-time offer: Get 30% off on all orders!,Low,Yes
658,Car O,Car S,Spam,Ignite your creativity with our art masterclass!,Low,Yes
659,Car I,All Vehicles,Spam,Attention travelers: Get exclusive discounts on flights!,Low,Yes
660,Car L,Car X,Spam,Earn passive income with our proven investment strategy!,Low,Yes
661,Car A,All Vehicles,Traffic,"Accident reported on Highway 123, expect delays",High,No
662,Car B,Car C,Emergency,"Medical emergency, ambulance on its way",High,No
663,Car D,All Vehicles,Weather,Heavy rain warning in effect,High,No
664,Car E,Car F,Hazard,"Road construction ahead, use alternate route",Medium,No
665,Car G,All Vehicles,Roadwork,Lane closures for bridge repairs,Medium,No
666,Car H,Car I,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
667,Car J,All Vehicles,Traffic,Traffic congestion on Highway 456,High,No
668,Car K,Car L,Emergency,"Hazardous material spill, use caution",High,No
669,Car M,All Vehicles,Weather,Severe thunderstorm warning,High,No
670,Car N,Car O,Hazard,"Fallen tree blocking the road, proceed with caution",Medium,No
671,Car P,All Vehicles,Roadwork,Road resurfacing in progress,Medium,No
672,Car Q,Car R,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
673,Car S,All Vehicles,Traffic,Delays expected due to heavy traffic,High,No
674,Car T,Car U,Emergency,Report any suspicious activities on the highway,High,No
675,Car V,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
676,Car W,Car X,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
677,Car Y,All Vehicles,Hazard,"Slippery road conditions, reduce speed",Medium,No
678,Car Z,Car A,Roadwork,"Bridge maintenance, expect delays",Medium,No
679,Car B,All Vehicles,Traffic,Heavy traffic reported on Highway 789,High,No
680,Car C,Car D,Emergency,Test emergency message,High,No
681,Car E,All Vehicles,Weather,Severe thunderstorm warning,High,No
682,Car F,Car G,Hazard,"Debris on the road, use caution",Medium,No
683,Car H,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
684,Car I,Car J,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
685,Car K,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
686,Car L,Car M,Emergency,Report any suspicious activities on the highway,High,No
687,Car N,All Vehicles,Weather,Severe thunderstorm warning,High,No
688,Car O,Car P,Spam,Limited stock available - Don't miss out!,Low,Yes
689,Car Q,All Vehicles,Traffic,"Road closure due to maintenance, follow the detour",High,No
690,Car R,Car S,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
691,Car S,All Vehicles,Spam,Attention! Don't miss out on our limited-time offer!,Low,Yes
692,Car T,Car U,Spam,Exclusive discount: Get 30% off on all products!,Low,Yes
693,Car V,All Vehicles,Spam,Earn money from home with our proven system!,Low,Yes
694,Car W,Car X,Spam,Discover the secret to success in just 7 days!,Low,Yes
695,Car Y,All Vehicles,Spam,"Limited-time offer: Buy one, get one free!",Low,Yes
696,Car Z,Car A,Spam,Attention drivers: Win a luxury car in our giveaway!,Low,Yes
697,Car B,All Vehicles,Spam,Start your own online business and be your own boss!,Low,Yes
698,Car C,Car D,Spam,Get fit and healthy with our revolutionary program!,Low,Yes
699,Car E,All Vehicles,Spam,Unlock your potential with our life-changing course!,Low,Yes
700,Car F,Car G,Spam,Limited-time sale: Get 50% off on all orders!,Low,Yes
701,Car H,All Vehicles,Traffic,Heavy traffic reported on Highway 123,High,No
702,Car I,Car J,Emergency,"Hazardous material spill, use caution",High,No
703,Car K,All Vehicles,Weather,Severe thunderstorm warning,High,No
704,Car L,Car M,Hazard,"Debris on the road, use caution",Medium,No
